要素番号	点番号	x	y	z
0	0	1.199999999999999e+00	-6.000000000000004e-01	-6.936864838513605e-16
0	1	1.199999999999998e+00	-5.500000000000005e-01	-6.631972450400441e-16
0	2	1.199999999999999e+00	-4.000000000000004e-01	-6.594295716016035e-16
0	3	1.907786888298030e+00	-5.290047592607664e-01	-1.656525526778115e-14
0	4	1.848804647606527e+00	-4.849210293223691e-01	-1.524257676512980e-14
0	5	1.671857925532018e+00	-3.526698395071787e-01	-1.123793801199102e-14
0	6	2.448075441506749e+00	-3.328201177351371e-01	-2.860087434995438e-14
0	7	2.344069154714519e+00	-3.050851079238761e-01	-2.631461922469304e-14
0	8	2.032050294337831e+00	-2.218800784900926e-01	-1.933257548135896e-14
0	9	1.199999999999999e+00	-6.000000000000004e-01	-6.936864838513605e-16
0	10	1.199746173298336e+00	-5.500000000000004e-01	-2.412427559246121e-02
0	11	1.195940512712443e+00	-4.000000000000004e-01	-9.640693502633144e-02
0	12	1.907786888298030e+00	-5.290047592607664e-01	-1.656525526778115e-14
0	13	1.848564209843379e+00	-4.849210293223692e-01	-4.839450397922909e-02
0	14	1.667954170053425e+00	-3.526698395071784e-01	-1.670356764222403e-01
0	15	2.448075441506749e+00	-3.328201177351371e-01	-2.860087434995438e-14
0	16	2.343838937386842e+00	-3.050851079238760e-01	-6.692116334228074e-02
0	17	2.028265416610638e+00	-2.218800784900925e-01	-2.209500694897767e-01
0	18	1.199999999999999e+00	-6.000000000000004e-01	-6.936864838513605e-16
0	19	1.198984780220130e+00	-5.500000000000005e-01	-4.823953135910192e-02
0	20	1.183784282049669e+00	-4.000000000000005e-01	-1.922378360100963e-01
0	21	1.907786888298030e+00	-5.290047592607664e-01	-1.656525526778115e-14
0	22	1.847842978990197e+00	-4.849210293223696e-01	-9.678334987206573e-02
0	23	1.656264281974621e+00	-3.526698395071787e-01	-3.336514577864674e-01
0	24	2.448075441506749e+00	-3.328201177351371e-01	-2.860087434995438e-14
0	25	2.343148364335903e+00	-3.050851079238759e-01	-1.338392347792640e-01
0	26	2.016931510769085e+00	-2.218800784900925e-01	-4.415994324901025e-01
1	0	1.199999999999999e+00	-6.000000000000004e-01	-6.936864838513605e-16
