要素番号	点番号	x	y	z
0	0	7.637319097523152e-01	-1.200000000000000e+00	-9.158330957073252e-01
0	1	3.093537048212258e+00	-1.200000000000000e+00	-4.636072783554636e+00
0	2	5.423342186672193e+00	-1.200000000000000e+00	-8.356312471401939e+00
0	3	7.637319097523152e-01	-4.065209219506474e-16	-9.158330957073249e-01
0	4	3.093537048212259e+00	-4.191240579020423e-16	-4.636072783554639e+00
0	5	5.423342186672194e+00	-4.059276159924192e-16	-8.356312471401941e+00
0	6	7.637319097523152e-01	1.200000000000000e+00	-9.158330957073252e-01
0	7	3.093537048212258e+00	1.200000000000000e+00	-4.636072783554636e+00
0	8	5.423342186672193e+00	1.200000000000000e+00	-8.356312471401939e+00
0	9	1.199999999999998e+00	-1.200000000000000e+00	-6.235400849261922e-16
0	10	3.449999999999992e+00	-1.200000000000000e+00	-5.104250958219120e-14
0	11	5.699999999999984e+00	-1.200000000000000e+00	-1.015407977706481e-13
0	12	1.199999999999999e+00	-5.093444740833126e-16	-6.032268400160786e-16
0	13	3.449999999999993e+00	-5.496745375507164e-16	-5.102206562816228e-14
0	14	5.699999999999983e+00	-5.291294168288724e-16	-1.014663682543895e-13
0	15	1.199999999999998e+00	1.200000000000000e+00	-6.235400849261922e-16
0	16	3.449999999999992e+00	1.200000000000000e+00	-5.104250958219120e-14
0	17	5.699999999999984e+00	1.200000000000000e+00	-1.015407977706481e-13
0	18	7.637319097523150e-01	-1.200000000000000e+00	9.158330957073250e-01
0	19	3.093537048212256e+00	-1.200000000000000e+00	4.636072783554605e+00
0	20	5.423342186672191e+00	-1.200000000000000e+00	8.356312471401871e+00
0	21	7.637319097523150e-01	-4.677839675517515e-16	9.158330957073249e-01
0	22	3.093537048212256e+00	-4.848048353014411e-16	4.636072783554605e+00
0	23	5.423342186672195e+00	-4.811846611336408e-16	8.356312471401871e+00
0	24	7.637319097523150e-01	1.200000000000000e+00	9.158330957073250e-01
0	25	3.093537048212256e+00	1.200000000000000e+00	4.636072783554605e+00
0	26	5.423342186672191e+00	1.200000000000000e+00	8.356312471401871e+00
